Response ID,Gender,Sex_Ori,Age,Race, Hisp_Lat,Year,Major,LivCamp,LivWith,Vig_Day,Vig_Time,Mod_Day,Mod_Time,Walk_Day,Walk_Time,Sit_Time,Priming,Lone_1,Lone_2,Lone_3,Lone_4,Lone_5,Lone_6,Lone_7,Lone_8,Lone_9,Lone_10,Lone_11,Lone_12,Lone_13,Lone_14,Lone_15,Lone_16,Attention,Lone_17,Lone_18,Lone_19,Lone_20
R_1hAppBMDK95LjEw,1,1,18,3,1,1,1,2,1,1,0,6,90,8,120,300,2,,,,,,,,,,,,,,,,,,,,,
R_3D5W5kxqdkAfj4V,2,1,18,1,1,1,1,1,3,6,45,3,30,4,20,300,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,3,2,2
R_UL4Xdw003f0IYsV,2,1,21,1,1,3,1,2,1,1,0,1,0,5,45,480,1,1,1,3,2,1,4,1,3,1,2,1,1,2,3,1,1,4,1,1,1,2
R_1IpdQwqlsRvB4I9,2,1,19,3,1,2,1,2,2,1,0,1,0,6,60,480,0,3,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,1,4,3,3,3
R_10xy3rHwaYRqdH8,2,1,21,1,1,4,3,1,3,2,40,5,30,4,25,300,0,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,3,1,1,1,2
R_2414DH1d7brePb4,1,1,21,1,2,4,1,2,2,6,900,6,300,8,45,180,0,3,4,3,3,3,3,3,4,4,3,4,4,3,3,4,4,1,4,4,4,3
R_RKvc9u4Suxzm4mJ,1,2,22,1,1,4,5,2,4,3,100,1,0,8,30,360,1,1,2,2,1,2,1,4,4,2,1,2,4,3,1,2,1,1,1,3,2,2
R_2bIRsghep3CBYKb,2,1,20,3,1,3,1,2,3,1,0,1,0,3,15,60,1,1,1,2,1,1,1,3,2,2,2,2,1,2,1,1,1,1,1,1,2,1
R_1oHG9gPugR6WIJZ,1,2,21,7,2,4,1,2,2,2,20,1,0,2,30,360,0,2,4,2,4,4,3,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4
R_24IvGyJ1WuYeD6j,2,1,21,1,2,4,3,2,2,4,75,4,60,5,20,360,1,2,3,3,3,2,2,3,4,4,3,3,4,4,3,2,3,3,3,3,3,2
R_1pEXMJQfUdvgDJa,2,1,21,3,1,4,1,2,2,2,30,1,0,5,40,2520,0,3,2,4,2,1,4,2,1,3,2,2,4,2,3,1,2,1,2,4,4,1
R_3PB3htr6DyD5tvT,1,1,21,1,1,4,5,1,3,5,30,1,0,6,15,500,0,1,1,1,1,1,1,1,2,3,2,1,1,3,1,1,1,2,1,3,2,1
R_20SZe8fc4JNTDWG,2,1,20,1,1,3,1,2,2,1,0,1,0,7,30,720,2,,,,,,,,,,,,,,,,,,,,,
R_stUZrmmIB6Sgag9,1,1,21,1,1,4,1,2,1,5,60,4,30,8,60,180,1,2,2,2,2,3,2,2,2,1,1,3,1,2,2,2,2,3,1,2,2,3
R_1rvvROE6bq3PPO5,2,1,21,1,1,4,2,2,4,1,0,6,50,5,60,300,1,1,2,1,2,3,2,4,2,3,2,1,2,4,1,4,2,2,1,2,3,2
R_2tFpWp5cDqYWmAa,2,1,20,1,1,4,1,2,2,4,60,1,0,3,15,540,1,3,4,3,3,3,2,4,2,2,3,3,2,2,3,2,2,2,3,3,3,2
R_2frHMzJhyCYKWJY,1,1,20,1,1,4,1,2,2,4,50,1,0,2,20,480,0,2,3,3,3,4,4,4,4,3,3,4,4,4,3,4,4,1,4,4,4,3
R_6wZzngoCG8E94DT,1,1,21,1,1,4,1,2,1,8,50,2,15,3,5,180,1,3,4,4,2,4,4,4,4,1,3,2,4,2,2,1,1,2,2,1,1,1
R_Ufp8DT5eLFJRfmp,1,1,23,6,1,4,1,2,2,4,60,1,0,7,45,8,1,2,2,2,3,3,2,4,3,2,4,4,4,2,3,3,3,1,2,3,3,3
R_1QmbGH7FuYpTEfF,1,1,21,1,1,4,1,2,2,3,1,3,1,8,15,600,1,2,2,2,1,1,3,4,2,1,2,4,2,2,3,1,2,1,1,1,1,2
R_2UikK3iDkahPZan,1,1,21,1,1,4,1,2,2,3,60,5,60,3,30,360,0,2,2,2,2,2,1,3,4,4,2,2,2,2,2,2,2,1,2,2,3,3
R_26eWWGT2I0ngKEh,1,1,21,1,1,3,5,2,1,1,0,1,0,2,30,300,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4
R_1DMaBD9muqFnoI6,1,2,22,1,1,4,1,2,4,3,60,5,300,8,120,240,0,2,3,2,3,2,2,3,2,2,3,3,4,3,2,3,3,2,2,1,2,2
R_12sD5ulPgUjnUsz,2,1,21,1,1,4,2,2,2,1,0,3,30,4,15,300,0,2,3,4,3,4,3,4,4,3,4,4,4,4,2,4,3,1,2,4,4,3
R_2zx6NvyvgVSaHtK,2,1,21,1,1,4,1,2,2,1,0,5,30,8,15,120,0,2,1,3,2,1,2,3,3,2,1,1,1,3,4,1,1,2,3,2,2,1
R_1Qhd3AhMDixb3oi,2,2,18,3,1,2,1,2,2,3,70,1,0,4,20,300,1,1,4,3,4,3,4,4,4,4,3,4,3,3,4,4,3,1,2,3,2,2
R_279bTCgTPi00eaf,1,2,19,1,1,2,5,2,2,6,45,8,10,6,15,600,,,,,,,,,,,,,,,,,,,,,,
R_AFmq3HxPQqu7rFL,2,1,21,3,1,4,1,2,2,5,90,6,50,2,20,480,0,3,4,2,4,4,3,4,4,4,3,4,4,4,4,4,4,1,3,4,4,3
R_XnBuE8Hab88geLn,1,1,22,1,1,4,5,2,2,3,50,7,130,5,30,180,1,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,2,3,2,3,2
R_23WTTWz5yicbIYh,2,1,21,2,1,4,2,2,2,3,20,3,20,4,15,200,0,2,3,3,2,3,2,3,3,3,2,3,3,2,2,3,2,1,3,1,2,3
R_x2TEMGqE21dBKnv,2,1,21,2,1,4,5,2,2,6,60,6,60,6,15,480,1,2,2,3,2,2,1,2,2,2,2,3,1,2,1,2,1,3,2,3,2,1
R_6QXxoCXSfzpYxbP,2,2,21,1,1,4,2,2,2,1,0,1,0,1,0,1000,1,1,2,2,3,1,3,3,3,2,1,1,2,4,3,4,2,4,2,2,4,1
R_1kXEevLTbVeNcIW,1,1,19,1,1,2,2,2,2,2,45,2,20,1,0,360,1,3,3,3,4,2,4,2,4,3,4,,4,4,4,4,3,1,4,4,4,4
R_bwTlyJabJPlg6tz,4,2,20,7,1,3,2,1,5,5,30,1,0,1,0,1200,0,3,1,3,1,2,3,1,1,3,3,4,1,1,3,2,2,3,4,2,3,1
R_Zn6pDn9YTDhw5Pj,2,1,21,1,1,3,1,2,2,4,30,3,15,7,30,500,0,2,3,3,1,2,1,4,4,3,3,4,3,3,2,2,2,1,4,3,3,2
R_WrOmtXkDQx2bacV,4,2,22,6,1,3,2,2,2,3,30,3,30,3,210,4200,0,1,2,2,1,2,4,4,2,3,3,3,4,4,2,3,1,2,2,1,4,3
R_1irLHp1lny8GZyh,1,2,20,6,2,2,2,2,1,1,0,1,0,1,0,450,1,1,2,2,3,2,2,3,4,2,2,2,2,4,2,2,2,1,2,1,2,2
R_2TGodnikXOwZ5ty,1,1,18,1,1,1,2,2,1,2,15,3,60,3,30,550,0,2,3,2,3,3,2,4,4,3,3,3,3,3,4,3,4,1,3,2,3,3
R_3sh6fEtK2u7iFUg,2,1,21,6,1,3,2,2,2,5,30,1,0,8,45,300,1,4,3,4,3,4,4,4,4,4,3,4,4,3,4,4,2,1,4,2,3,3
R_3NxPja9XVQdLHor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1jlEqL087YLjWn4,1,1,21,1,1,4,2,2,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
R_3GexchIwvCaWsHO,2,1,21,1,1,4,2,2,2,4,30,1,0,6,15,540,1,2,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,1,3,3,4,4
R_2zjQ7SrsRzX5CBw,2,1,21,1,1,4,2,2,1,1,0,1,0,8,30,,2,,,,,,,,,,,,,,,,,,,,,
R_3LbViDwhW5BsNOb,2,1,19,1,1,1,1,2,1,1,0,1,0,4,60,480,0,3,4,3,4,4,2,4,4,4,4,4,4,4,4,4,4,1,3,3,4,4
R_1pYG4DYOP7HU9WL,1,1,21,3,1,4,2,2,1,4,75,4,25,4,12,300,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
R_Wce48eukPxQQRup,2,1,19,1,1,2,2,2,1,3,30,2,20,4,45,420,1,2,2,2,2,3,2,3,3,3,2,3,3,3,2,2,2,2,2,1,3,3
R_1FqXJGaH19Ibppw,2,2,20,1,1,4,2,2,2,1,0,3,30,4,20,240,0,2,3,2,3,3,4,4,4,2,3,4,4,4,4,4,4,1,4,4,4,4
R_2UWbI2WhHNvfbH9,2,1,20,1,1,3,2,2,2,1,0,1,0,6,180,360,0,2,2,2,3,2,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2
R_33EHgrZXX4i0FWY,2,1,20,2,1,2,2,1,2,5,45,3,60,8,15,560,0,2,2,1,2,2,2,3,3,2,3,4,4,3,1,3,2,1,2,3,3,2
R_307yBABxWAXizbv,2,1,20,2,1,3,2,2,2,1,0,1,0,1,0,360,0,3,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,1,2,3,3,4
R_eFktCDB2aKWBqbD,2,1,21,1,1,4,1,2,2,1,0,1,0,3,30,120,1,1,2,1,2,4,1,3,4,4,3,3,4,3,2,4,3,2,2,4,4,3
R_3nebOr8W1AssLZC,2,2,19,1,1,2,2,2,2,5,40,3,90,8,30,300,0,1,2,1,2,3,2,3,3,2,2,3,2,2,2,2,3,2,3,2,2,2
R_1OOcWzrdawOTzIn,2,2,21,1,1,3,2,1,2,2,10,4,10,3,12,420,1,1,2,2,2,3,3,3,2,2,1,2,2,2,2,2,2,2,2,2,1,1
R_3qKaPxWQkC7xzdD,2,2,21,1,1,4,2,2,2,2,45,5,30,7,30,360,1,2,2,2,2,2,2,3,3,3,3,3,2,2,3,3,2,2,2,2,3,2
R_2YyNu4TkP9kKGyJ,2,1,20,1,1,2,2,2,1,2,20,5,60,1,0,420,1,2,1,3,2,1,2,2,2,3,1,2,2,2,2,2,1,2,2,2,2,2
R_1royRfQycg3EXUd,2,1,19,1,1,2,1,2,2,1,0,1,0,4,35,,1,2,4,4,2,4,4,4,4,4,4,4,3,4,3,4,2,1,2,1,4,4
R_ALqy92QsASd6bmh,2,1,22,1,1,4,2,2,2,3,50,2,15,5,10,400,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4
R_8c9eTFjZbLuxhJf,2,2,21,1,1,4,2,2,2,1,0,2,10,4,15,300,0,3,4,4,4,4,2,4,4,4,2,4,3,3,3,4,4,1,3,1,2,2
R_Xie3vTULQJP1s41,2,3,18,3,1,1,1,2,1,6,60,8,30,7,25,840,1,1,1,2,2,4,4,4,3,4,1,2,2,3,2,4,2,2,1,1,2,4
R_3Eu83qjRYT8Roua,2,1,20,1,1,3,2,2,2,1,0,1,0,2,20,720,1,2,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3
R_3EfYicrRV9Hxtaf,2,3,21,1,1,2,1,2,2,2,30,1,0,4,45,500,0,2,3,4,4,4,3,4,4,4,2,4,4,4,3,4,3,1,2,3,2,2
R_6fis4a6jpvrPl8R,2,2,19,1,1,2,2,1,3,4,60,8,30,8,30,420,2,,,,,,,,,,,,,,,,,,,,,
R_DAG0gLJOIRn5oqt,1,2,20,1,1,2,2,2,2,1,0,1,0,6,30,,0,2,2,1,2,3,1,2,4,4,3,3,3,3,3,4,2,1,2,2,3,2
R_vVkZQE4hVezJnhL,2,1,20,1,1,3,2,2,1,1,0,3,20,2,10,600,1,4,4,4,3,4,3,4,4,3,4,4,4,4,4,4,4,1,4,1,4,3
R_2RaZY9rqOujStIt,2,1,20,1,2,3,1,2,2,1,0,1,0,6,20,480,1,1,2,1,2,1,1,3,4,1,1,2,2,3,2,1,1,2,2,1,2,1
R_8Im1Fn1q0aHDaxj,1,2,19,1,1,1,2,2,1,4,30,2,30,6,60,300,1,2,3,3,2,2,2,4,2,2,3,3,3,2,3,2,2,1,3,2,4,3
R_4OOuUbb6DTv64QF,2,3,19,1,2,2,1,2,1,3,60,4,90,5,90,720,1,2,2,3,3,2,3,4,2,1,2,3,3,2,2,2,1,2,1,2,3,3
R_Z1tNlAcOauxpIYN,4,2,18,1,1,1,2,2,1,1,0,6,45,7,30,360,0,2,1,3,2,1,1,4,3,3,3,3,2,4,2,3,1,2,2,2,4,4
R_su5xJuEk1zfmvfP,2,1,20,6,2,3,2,2,2,1,0,5,30,4,20,120,1,2,2,3,3,2,4,3,2,1,3,2,3,1,3,1,3,2,2,3,3,1
R_vODQLYrVHya0geJ,2,1,21,2,1,4,2,2,1,4,30,1,0,4,30,180,1,2,2,3,2,3,3,3,2,2,2,3,3,2,2,2,1,2,2,1,3,2
R_81GUqrvRUaUAEdb,1,2,20,1,1,3,2,2,2,6,45,4,30,8,20,300,1,4,3,4,4,4,3,4,4,4,4,4,4,3,4,4,3,2,1,3,4,3
R_2b2Zhsy0ZfjWWga,2,2,21,1,1,4,2,2,2,1,0,3,60,5,30,720,0,1,3,1,3,,3,4,2,4,1,1,2,2,2,4,1,2,1,2,3,2
R_2CP9COWkplyyJjN,2,1,20,1,1,3,2,2,3,5,60,4,45,8,120,240,1,3,2,2,2,2,1,2,1,2,1,2,2,2,3,2,2,1,1,2,2,1
R_3m1yeCyAyQTCUVM,2,1,22,1,1,4,2,2,2,1,0,4,15,4,40,600,0,2,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,1,4,4,4,4
R_6QXhojGdUFskBGN,2,1,19,2,1,2,2,2,1,4,30,6,10,8,40,400,0,2,4,4,2,2,4,4,4,4,2,3,4,4,4,4,2,1,2,4,2,3
R_31yHHhB6Qu6a4fJ,2,1,18,2,1,1,2,2,2,3,60,1,0,8,60,480,0,4,3,4,4,3,1,4,4,3,2,3,4,4,2,3,4,1,4,3,4,3
R_1qea4sfDb7MvzrZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2fDk0fdd4zaeerB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_sF4ZdZOOLgujMnn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2EbGLohQWdzlPDd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1ILxl6ApjTCEs2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1rxHXWvqxAy0a8u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1pms2g2nhIB7tDy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2uWgltg4gJBa9el,1,1,21,5,1,3,5,2,2,5,120,2,120,3,60,460,1,,,,,,,,,,,,,,,,,,,,,
R_1It5OVxd0aMA9ZB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3iVxLhx14ujjvJ9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_YQXQNNAYXXdKkP7,2,1,21,1,1,4,1,2,2,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1Ca2XDo0WhE3qhH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_2fqEbcfGxE42PGG,1,1,18,2,1,1,1,2,1,3,50,1,,2,60,840,,3,2,4,2,2,2,4,3,4,4,4,4,3,4,1,3,2,4,2,4,3
R_sp3hjOcexESDZ8B,2,1,22,1,1,4,2,2,1,5,15,1,,4,20,780,1,3,3,4,2,2,3,4,4,2,4,4,4,4,4,4,3,1,4,4,4,2
R_1mReWrtjjN5LFyt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_1YwMlabny5EDOkF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_3NCAFD9IglF09w0,2,1,21,3,1,4,2,2,1,4,100,1,,2,120,480,,2,1,2,1,1,2,3,3,2,1,3,4,4,4,1,2,3,3,2,1,4
R_1CdntS54RXW1QrY,4,2,25,1,1,4,2,2,2,1,,2,15,2,20,900,1,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,1,1,2
R_1rPpeg76qgLDCBD,1,1,22,1,1,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,